Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC5268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,9/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Dual Band," 501~588 is correlation golden in Sigurd, 600~629 is generated in Goodark (5268Q)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
544,1,544,818.1906667,33.55933333,33.73766667,1604.001333,41.64466667,33.03,1.506333333,1416.600333,39.68633333,-37.05466667,-40.36866667,-57.77366667,-30.94333333,0.648666667,-3.996,12.327,121.9123333,0.007,646.3836667,31.10133333,31.37766667,1168.18,33.97233333,30.005,1.449,947.1323333,30.146,-42.40666667,-33.65933333,-69.03866667,-27.548,1.570333333,-1.234333333,7.703,129.0853333,-0.036,-1.705333333,-1.692666667,12.898,35,408.931,12804.59567
545,1,545,829.1723333,33.559,33.75966667,1622.103,41.39,33.01966667,1.520333333,1430.434333,39.21633333,-36.59766667,-40.40933333,-57.21466667,-31.158,-0.01,-4.392666667,12.04166667,120.1336667,0.005,648.5516667,31.07433333,31.37133333,1145.773,34.60333333,30.01333333,1.46,928.933,30.793,-41.898,-33.329,-68.47466667,-27.85066667,0.634333333,-1.577333333,7.704333333,126.7233333,-0.032333333,-1.648,-1.667,13.07633333,35,364.0923333,15779.566
546,1,546,830.2256667,33.66166667,33.87666667,1664.003667,41.44433333,33.015,1.508,1452.569667,38.58733333,-39.07333333,-41.18,-58.39,-30.87133333,-0.178333333,-4.738,12.054,119.5413333,0.008666667,653.474,31.10066667,31.39,1145.818333,34.748,30.01333333,1.448,925.9226667,30.89333333,-42.286,-30.75133333,-67.17533333,-28.16766667,0.765,-1.894666667,7.662666667,127.9766667,-0.027666667,-1.672,-1.662333333,12.75666667,35,312.124,11825.45467
547,1,547,837.391,33.69466667,33.88866667,1677.092667,41.23233333,33.01033333,1.499,1454.045333,38.514,-39.067,-40.35633333,-57.70033333,-31.01833333,0.056333333,-4.318666667,11.805,125.783,0.010666667,651.9686667,31.13166667,31.40033333,1146.307667,34.81766667,30.02933333,1.444666667,929.2793333,30.89433333,-43.415,-33.34966667,-68.63166667,-27.95266667,0.692333333,-1.500666667,7.567333333,130.566,-0.022333333,-1.688,-1.696666667,13.20466667,35,420.7773333,13123.53033
548,1,548,840.0553333,33.786,34.00033333,1729.327333,41.028,33.04333333,1.518333333,1497.519,37.69833333,-39.72033333,-42.32033333,-57.93866667,-31.289,0.048666667,-4.292666667,11.48433333,126.9583333,-0.001,657.6363333,31.097,31.37566667,1138.856333,34.854,30.035,1.457,923.6946667,31.121,-42.33,-33.71133333,-68.23133333,-26.73233333,0.732333333,-1.515,7.194,133.836,-0.032333333,-1.665333333,-1.683333333,13.314,35,447.3936667,12339.56533
549,1,549,848.0713333,33.774,33.981,1715.192333,41.18533333,33.007,1.497333333,1476.301667,37.91333333,-39.12033333,-39.81,-57.62166667,-31.13333333,-0.115333333,-4.413666667,11.73633333,124.9603333,0.009,660.9483333,31.06566667,31.364,1154.157667,34.28566667,30.01466667,1.454,933.863,30.64166667,-43.09466667,-32.59033333,-68.02266667,-27.70266667,0.701,-1.557666667,7.011666667,136.2476667,-0.034333333,-1.687333333,-1.716,12.943,35,431.2226667,12944.01767
550,1,550,826.2816667,33.59366667,33.79433333,1640.588333,41.248,33.02,1.518666667,1443.884333,38.86433333,-39.05266667,-40.35966667,-57.343,-31.30066667,0.139333333,-4.47,11.46466667,125.9273333,0.003,645.5256667,31.209,31.502,1166.456667,35.00766667,30.04466667,1.457333333,935.459,30.80133333,-42.22466667,-34.08033333,-68.91133333,-26.32933333,0.667666667,-1.587333333,7.212666667,132.4913333,-0.037333333,-1.674666667,-1.695,12.929,35,407.0013333,12804.61067
551,1,551,844.8273333,33.78433333,33.965,1710.465667,41.14766667,33.00633333,1.504666667,1466.795,38.14633333,-38.15266667,-41.59433333,-57.88966667,-30.99233333,0.002,-4.336666667,12.009,123.3003333,0.007333333,658.7203333,31.11566667,31.38433333,1170.829333,33.94366667,30.043,1.465333333,952.3713333,30.241,-42.61466667,-33.42266667,-67.747,-27.21766667,0.727333333,-1.456333333,7.726666667,131.891,-0.035,-1.673,-1.686,13.44833333,35,442.763,13603.64567
552,1,552,840.786,33.61966667,33.77933333,1621.064,41.602,33.02966667,1.503333333,1418.263667,39.63766667,-36.81933333,-40.61666667,-58.14166667,-30.80966667,0.077666667,-4.447333333,11.94666667,123.236,0.014333333,654.332,31.107,31.403,1146.367667,34.833,30.029,1.450666667,928.5193333,30.92166667,-41.62566667,-32.30266667,-68.378,-27.046,0.653,-1.613,7.518666667,130.579,-0.035666667,-1.639333333,-1.657666667,13.05566667,35,448.2473333,12854.5
553,1,553,817.167,33.57933333,33.795,1631.323,41.49066667,33.02166667,1.495666667,1432.112667,39.19233333,-38.04366667,-40.02233333,-58.17733333,-30.50033333,0.143333333,-4.428666667,12.25466667,119.2363333,0.008333333,636.11,31.14,31.47633333,1167.374667,34.775,30.019,1.435,939.2293333,30.49733333,-41.733,-31.71366667,-68.50666667,-28.069,0.554,-1.632666667,7.97,126.5363333,-0.034333333,-1.688,-1.711333333,12.71666667,35,451.3536667,11907.06133
554,1,554,850.676,33.606,33.77733333,1640.550333,41.09066667,33.00533333,1.501666667,1432.067667,39.046,-34.504,-40.20833333,-57.66533333,-25.32666667,0.070333333,-4.429,12.32966667,121.9456667,0.009666667,657.4406667,31.051,31.33633333,1164.454333,33.75866667,30.022,1.461666667,959.4386667,29.87466667,-42.57466667,-31.59933333,-68.40666667,-20.29233333,0.685,-1.573666667,7.449333333,146.866,-0.031666667,-1.685666667,-1.706666667,13.684,35,451.5006667,12107.93333
555,1,555,847.1383333,33.62333333,33.82266667,1652.111667,41.23166667,33.01133333,1.508666667,1438.510333,38.92666667,-37.67333333,-38.62433333,-57.425,-30.70266667,0.282,-4.24,11.72533333,123.3003333,0.006,659.2016667,31.12033333,31.41866667,1137.366,35.24466667,30.035,1.453,917.8843333,31.32166667,-44.69433333,-31.874,-67.95933333,-27.673,0.735,-1.399666667,7.372333333,131.3106667,-0.031,-1.701,-1.721,13.315,35,451.1096667,12406.84867
556,1,556,841.403,33.73966667,33.92733333,1690.174,41.28166667,33.034,1.499666667,1460.089,38.56466667,-38.86066667,-40.80866667,-58.07233333,-30.88533333,0.215666667,-4.382,12.15966667,118.852,0.000333333,659.8566667,31.21566667,31.49,1163.318,35.009,30.01533333,1.437333333,933.359,30.662,-41.856,-32.08933333,-68.13166667,-25.54733333,0.742,-1.531,7.754,129.6616667,-0.029333333,-1.69,-1.699,12.85933333,35,412.6816667,12782.455
557,1,557,826.952,33.83433333,34.06133333,1790.804667,40.17833333,33.01766667,1.515666667,1541.241,36.435,-41.839,-44.45533333,-59.43866667,-31.487,-0.127333333,-4.260666667,11.41033333,125.316,0.001666667,651.3363333,31.03333333,31.331,1155.52,33.982,30.02866667,1.464666667,943.5346667,30.42466667,-42.24566667,-32.281,-67.70833333,-26.96633333,0.726,-1.485333333,7.445,131.715,-0.030666667,-1.682333333,-1.685,12.98166667,35,407.2223333,12938.49033
558,1,558,846.0693333,33.624,33.803,1655.785,40.95333333,33.02566667,1.491333333,1443.327333,38.92533333,-36.78766667,-39.276,-56.655,-31.24333333,0.025333333,-4.625666667,12.176,120.836,0.008666667,662.2726667,31.075,31.368,1147.436667,34.522,30.01933333,1.439,928.805,30.839,-40.92433333,-33.24733333,-68.16166667,-27.72766667,0.679,-1.792,7.457666667,132.1526667,-0.029666667,-1.669,-1.678666667,13.03633333,35,313.6486667,35274.61333
559,1,559,839.288,33.64766667,33.848,1670.228333,41.02033333,33.006,1.496333333,1452.472,38.51533333,-35.89233333,-38.62933333,-56.906,-30.458,0.137333333,-4.348666667,12.01933333,121.036,0.010333333,657.561,31.08366667,31.37166667,1168.887333,33.90433333,30.01866667,1.446333333,947.7046667,30.22166667,-43.56133333,-33.32366667,-68.296,-29.91633333,0.713666667,-1.541,7.662666667,126.605,-0.035666667,-1.706666667,-1.733333333,12.917,35,368.1083333,11866.06167
560,1,560,842.9006667,33.55133333,33.71933333,1615.396667,41.177,33.01466667,1.509666667,1417.676333,39.518,-33.208,-39.34766667,-57.30966667,-31.09933333,-0.054666667,-4.388,12.109,122.2946667,0.007,653.173,31.12566667,31.41633333,1166.862667,34.31533333,30.04733333,1.456333333,946.9143333,30.44666667,-42.53366667,-32.41766667,-68.61533333,-26.03033333,0.687666667,-1.529,7.376333333,132.961,-0.031333333,-1.686333333,-1.704666667,13.54733333,35,359.211,12628.06767
561,1,561,832.228,33.719,33.91966667,1692.002667,41.16366667,33.01733333,1.503333333,1470.385667,38.153,-39.89866667,-43.52633333,-58.64366667,-30.09633333,-0.006333333,-4.206666667,11.899,123.984,0,654.5726667,31.087,31.37833333,1182.548333,33.554,30.03333333,1.465,955.6223333,30.07366667,-41.197,-34.45466667,-67.596,-29.21433333,0.745,-1.41,7.298333333,133.0666667,-0.034666667,-1.648333333,-1.671666667,12.94733333,35,312.546,16229.37833
562,1,562,850.5176667,33.79666667,33.985,1716.118,41.20133333,33.03933333,1.494666667,1480.290667,38.09633333,-38.19133333,-39.27566667,-58.43433333,-23.23066667,0.549,-4.297333333,12.16666667,145.7246667,0.005666667,661.7983333,31.20333333,31.46466667,1172.681,34.52366667,30.036,1.457,964.0596667,29.82966667,-42.746,-33.03366667,-68.41533333,-18.55833333,1.299333333,-1.493,7.439,207.8153333,-0.029333333,-1.723,-1.709,12.81566667,35,314.697,11868.20367
563,1,563,805.26,33.47366667,33.69833333,1601.48,41.33666667,33.02766667,1.537666667,1430.976,39.27766667,-37.15333333,-41.09966667,-57.465,-30.301,0.263333333,-4.269666667,11.28733333,130.9836667,0.002666667,637.8563333,31.04366667,31.35433333,1151.117333,34.30133333,30.03266667,1.467,936.0083333,30.69666667,-40.95933333,-33.564,-67.776,-30.51033333,0.69,-1.435333333,6.837666667,133.302,-0.028333333,-1.661666667,-1.689666667,13.41766667,35,354.6073333,13697.77667
564,1,564,831.3396667,33.68866667,33.86866667,1662.076667,41.42,33.02366667,1.497333333,1440.783333,38.979,-38.20566667,-41.20066667,-58.35133333,-30.714,-0.174333333,-4.382,12.17233333,121.2316667,0.007,649.8013333,31.18133333,31.451,1148.317,35.164,30.03233333,1.442,925.6213333,31.03833333,-42.39166667,-35.676,-67.88966667,-27.11466667,0.730333333,-1.546666667,7.803333333,129.4953333,-0.032666667,-1.650333333,-1.681333333,12.789,35,306.0316667,11198.69367
565,1,565,822.8646667,33.74866667,33.956,1725.534,40.70333333,33.012,1.519333333,1501.989667,37.32066667,-41.41266667,-44.48366667,-59.25666667,-31.07166667,0.019,-4.333333333,11.405,126.7036667,-0.002333333,651.6076667,30.97933333,31.277,1134.423,34.205,30.01966667,1.467333333,924.319,30.99166667,-42.105,-31.45266667,-68.095,-27.48533333,0.651333333,-1.574333333,7.414,131.2023333,-0.03,-1.674,-1.675333333,13.195,35,385.8606667,11430.94633
566,1,566,831.212,33.62766667,33.829,1671.372,40.81066667,33.02366667,1.510333333,1466.178,38.314,-38.99933333,-40.74466667,-58.352,-31.11266667,0.024666667,-4.44,11.524,127.361,0.009,649.8383333,31.28,31.568,1184.422333,34.99466667,30.01533333,1.440333333,940.381,30.433,-43.29166667,-31.797,-67.93466667,-26.161,0.648666667,-1.585,7.208,134.898,-0.034,-1.673666667,-1.691666667,13.345,35,362.1276667,10969.06733
567,1,567,828.826,33.59366667,33.787,1642.304333,41.13433333,33.022,1.517666667,1445.171333,38.848,-37.38733333,-39.922,-57.7,-30.51733333,0.125333333,-4.407,12.053,122.2863333,0.002,651.1933333,31.13166667,31.40566667,1161.436,34.39533333,30.02433333,1.453666667,938.409,30.561,-42.43966667,-31.57633333,-67.98233333,-28.26566667,0.782333333,-1.534,7.65,129.1223333,-0.038,-1.681666667,-1.69,13.167,35,361.3106667,11996.30267
568,1,568,805.3653333,33.418,33.63433333,1592.214667,40.967,33.023,1.543333333,1432.827667,39.18466667,-36.44133333,-37.52266667,-56.50966667,-28.92633333,0.201666667,-4.627333333,11.85533333,125.9813333,-0.004,638.0596667,31.10333333,31.384,1151.553333,34.52366667,30.01366667,1.458,929.7536667,30.769,-43.91066667,-31.05733333,-67.57133333,-31.166,0.816,-1.746666667,7.548333333,128.348,-0.034333333,-1.714,-1.698333333,13.80966667,35,363.1466667,10853.63867
569,1,569,843.9696667,33.76466667,33.954,1710.525667,41.04066667,33.01633333,1.506666667,1478.875667,37.93033333,-40.15433333,-42.878,-58.615,-31.48333333,-0.091666667,-4.463666667,11.67433333,122.116,0.007,666.2016667,31.15933333,31.46666667,1192.716667,33.94533333,30.01833333,1.461333333,959.8376667,29.839,-41.15333333,-32.18466667,-68.154,-26.96133333,0.642333333,-1.661666667,7.415333333,128.5506667,-0.038666667,-1.672,-1.671333333,13.481,35,359.7646667,11741.29
570,1,570,845.061,33.735,33.926,1693.786667,41.18166667,33.02733333,1.515333333,1471.303667,38.216,-38.39233333,-43.47566667,-58.90566667,-31.40533333,-0.125666667,-4.477333333,11.736,124.5393333,0.003,664.779,31.16466667,31.45266667,1163.716667,34.69933333,30.004,1.454666667,933.1403333,30.59033333,-41.87066667,-31.465,-67.85933333,-26.14466667,0.71,-1.651,7.535666667,130.3583333,-0.027666667,-1.663666667,-1.674333333,13.343,35,382.2863333,12525.46833
571,1,571,831.844,33.50066667,33.673,1597.287667,41.20566667,33.02033333,1.507666667,1415.215333,39.63733333,-34.08033333,-39.709,-57.636,-31.01666667,-0.128666667,-4.649333333,12.226,119.556,0.006,652.7666667,31.13533333,31.429,1166.049667,34.438,30.03566667,1.445,945.7703333,30.40266667,-42.24333333,-31.469,-67.17566667,-26.574,0.832666667,-1.671333333,7.731333333,127.5896667,-0.027,-1.680333333,-1.677666667,13.352,35,361.738,12256.67667
572,1,572,847.424,33.86533333,34.06366667,1738.525,41.411,33.025,1.495666667,1482.194667,37.92366667,-39.56633333,-43.222,-58.83333333,-30.70233333,0.234666667,-4.226333333,11.992,120.5973333,0.008,652.36,31.06333333,31.34833333,1164.078,33.86333333,30.01966667,1.459,947.6066667,30.23433333,-41.352,-32.84566667,-67.94433333,-29.13266667,0.700333333,-1.441666667,7.686666667,126.8386667,-0.033333333,-1.692666667,-1.712,13.518,35,359.6056667,10670.548
573,1,573,827.998,33.67133333,33.88933333,1675.534667,41.28033333,33.02666667,1.503333333,1462.663,38.43166667,-38.88533333,-41.08533333,-57.64,-31.35666667,0.403333333,-4.201,11.726,123.829,0.002,644.2913333,31.16,31.44866667,1158.087,34.839,30.01266667,1.441333333,930.393,30.74133333,-41.983,-33.67166667,-67.89133333,-27.462,0.789,-1.411,7.286,133.179,-0.033,-1.662,-1.686,13.31433333,35,363.6266667,11308.463
574,1,574,836.1566667,33.73033333,33.895,1687.095667,41.04933333,33.023,1.498,1458.448,38.50766667,-36.928,-41.82,-58.26966667,-31.081,-0.329333333,-4.466666667,11.97733333,125.15,0.013,661.0606667,31.165,31.44433333,1168.338333,34.492,30.02033333,1.447,942.6996667,30.39166667,-41.48366667,-33.555,-67.986,-26.53566667,0.729333333,-1.627,7.534,132.7713333,-0.028666667,-1.645666667,-1.657333333,13.13766667,35,342.21,12384.526
575,1,575,821.8633333,33.622,33.82966667,1656.379333,41.18866667,33.01633333,1.507666667,1454.534333,38.55333333,-38.58366667,-40.87066667,-58.99533333,-31.259,0.067333333,-4.239666667,11.64833333,125.6416667,0.011,644.3893333,31.02566667,31.33433333,1135.732667,34.617,30.02966667,1.452333333,925.5536667,31.02266667,-43.25666667,-32.80433333,-68.78066667,-26.63466667,0.664,-1.414,7.404333333,131.177,-0.027,-1.69,-1.711666667,13.045,35,355.8533333,11329.77233
576,1,576,847.0253333,33.81066667,34.01766667,1730.366,41.16833333,33.03433333,1.490333333,1488.314,37.85066667,-38.25133333,-43.16933333,-58.107,-31.562,0.032333333,-4.245,11.568,127.2753333,0.007,654.0986667,31.03533333,31.33333333,1175.255,33.41833333,30.03866667,1.452,962.758,29.888,-40.23833333,-31.95633333,-68.31733333,-27.54166667,0.706333333,-1.449,7.520333333,128.1516667,-0.03,-1.664666667,-1.687,13.514,35,379.7993333,12349.269
577,1,577,853.4153333,33.68,33.87833333,1688.924333,40.84866667,33.02266667,1.497666667,1467.367333,38.27966667,-37.05466667,-39.846,-57.43533333,-30.76333333,0.132333333,-4.308666667,11.90066667,123.5713333,0.008666667,659.548,31.12066667,31.411,1170.129333,34.17566667,30.02,1.443333333,943.294,30.37033333,-42.67233333,-35.30033333,-68.86733333,-28.001,0.676666667,-1.491,7.646,128.386,-0.040666667,-1.668333333,-1.688333333,12.96533333,35,386.52,11498.942
578,1,578,828.954,33.56966667,33.76066667,1622.569667,41.386,33.019,1.477666667,1425.406333,39.34933333,-38.38733333,-40.95633333,-57.98766667,-31.34633333,0.032666667,-4.271666667,12.34133333,120.3816667,0.002333333,643.2753333,31.16366667,31.442,1156.528667,34.83333333,30.01566667,1.419333333,936.7906667,30.55066667,-42.76233333,-33.13066667,-68.32433333,-26.10833333,0.679666667,-1.437666667,8.09,124.8803333,-0.027,-1.66,-1.694333333,13.542,35,363.8743333,12157.01067
579,1,579,817.6563333,33.55766667,33.76733333,1628.229667,41.30766667,33.032,1.514,1433.678,39.24266667,-38.599,-40.933,-58.20166667,-30.50133333,0.027666667,-4.301333333,11.88166667,122.653,0.009,639.7903333,31.059,31.37433333,1161.240667,34.152,30.011,1.459,939.0566667,30.44466667,-42.04766667,-32.745,-67.73066667,-28.123,0.647666667,-1.509333333,7.493666667,130.567,-0.033333333,-1.670666667,-1.705333333,13.14766667,35,344.2086667,10588.354
580,1,580,841.147,33.67766667,33.82966667,1657.786667,41.15566667,33.02833333,1.514333333,1438.013333,39.09333333,-35.98933333,-40.36766667,-57.78233333,-30.79633333,0.092333333,-4.434333333,11.78866667,127.8613333,0.006,662.837,31.22333333,31.48433333,1191.369667,34.12266667,30.02166667,1.463,954.4183333,30.031,-42.34333333,-32.723,-67.94866667,-27.71466667,0.646333333,-1.600666667,7.151666667,133.5346667,-0.034333333,-1.662666667,-1.681,13.359,35,381.6273333,10054.13
581,1,581,830.941,33.568,33.756,1646.820667,40.73,33.02466667,1.518333333,1447.482,38.811,-39.19733333,-41.60033333,-58.14333333,-30.69933333,0.024,-4.434666667,11.983,116.501,0.001333333,645.6913333,31.11133333,31.40366667,1138.006,35.10566667,30.026,1.455,923.6943333,31.05866667,-40.91433333,-33.46166667,-67.84566667,-28.44166667,0.676666667,-1.636666667,7.829666667,124.425,-0.022,-1.652666667,-1.671,12.927,35,362.5973333,10575.11133
582,1,582,822.7443333,33.52366667,33.69666667,1612.837667,41.02866667,33.02866667,1.515,1423.095667,39.50166667,-34.89666667,-39.99366667,-57.481,-30.84433333,0.067333333,-4.450666667,11.664,129.995,-0.001666667,647.3776667,31.18266667,31.46166667,1172.552667,34.50133333,30.03166667,1.451666667,945.4313333,30.384,-42.49,-31.572,-68.426,-24.96166667,0.695666667,-1.625,7.401,135.1476667,-0.031,-1.666333333,-1.682666667,13.33733333,35,381.3656667,10586.77133
583,1,583,840.4546667,33.53766667,33.69166667,1590.829667,41.548,33.025,1.508,1396.165,40.20733333,-34.59433333,-40.52666667,-57.635,-30.818,0.000333333,-4.329666667,12.00466667,123.921,0.011333333,656.018,31.24966667,31.53866667,1189.217,34.61466667,30.01633333,1.442666667,948.2766667,30.18766667,-42.356,-32.56466667,-69.055,-26.842,0.640333333,-1.532666667,7.572666667,128.2343333,-0.034666667,-1.654333333,-1.683,12.96266667,35,362.857,10564.219
584,1,584,814.209,33.56266667,33.76133333,1633.430667,41.11933333,33.02733333,1.502333333,1437.908333,39.08666667,-36.767,-41.39733333,-58.23933333,-30.60733333,-0.057333333,-4.429666667,12.24833333,123.1313333,0.008666667,635.9593333,31.09833333,31.36766667,1170.069,33.83466667,30.014,1.448,948.194,30.17466667,-40.51866667,-33.40933333,-68.12033333,-28.77866667,0.84,-1.575,7.724,132.0443333,-0.034666667,-1.648666667,-1.674,12.835,35,362.9296667,12655.38467
585,1,585,822.2776667,33.491,33.661,1587.616,41.33966667,33.02733333,1.518333333,1414.199,39.72833333,-36.417,-38.85566667,-57.92366667,-30.427,-0.071333333,-4.454,12.14233333,120.3406667,0.018,649.997,31.13233333,31.431,1166.245667,34.44933333,30.00066667,1.449333333,939.6286667,30.35666667,-43.77166667,-32.323,-68.90433333,-28.68233333,0.609,-1.659333333,7.514333333,128.0923333,-0.031,-1.712333333,-1.725666667,13.126,35,363.1986667,12007.82333
586,1,586,844.0976667,33.53833333,33.71866667,1614.109333,41.20466667,33.01833333,1.507666667,1415.908,39.59966667,-37.55633333,-39.223,-57.065,-30.807,0.248666667,-4.213,12.15666667,120.5533333,0.008333333,660.6996667,31.15833333,31.46533333,1180.727,34.28733333,30.04533333,1.451,952.2053333,30.26466667,-42.82033333,-31.71,-68.081,-27.68,0.773,-1.411333333,7.632,127.7826667,-0.034333333,-1.683333333,-1.688666667,13.695,35,361.1386667,10663.887
587,1,587,838.0613333,33.76566667,33.96866667,1704.467,41.32566667,33.00066667,1.472666667,1465.786667,38.121,-38.237,-43.51666667,-58.816,-31.14233333,0.004,-4.528,12.42166667,117.6793333,0.001333333,649.5373333,31.049,31.331,1158.117,33.907,30.018,1.436333333,947.8776667,30.209,-41.31133333,-33.277,-67.56433333,-27.808,0.722,-1.668333333,8.134,123.497,-0.028666667,-1.671666667,-1.684666667,13.312,35,361.8763333,11406.66467
588,1,588,839.7393333,33.51133333,33.69033333,1616.3,40.883,33.02433333,1.522666667,1426.731,39.35766667,-37.31666667,-40.62433333,-57.11866667,-30.808,0.258,-4.472333333,11.79533333,123.4906667,0.008666667,650.087,31.205,31.505,1171.521667,34.87866667,30.006,1.449666667,936.0533333,30.50833333,-43.05333333,-34.062,-68.10766667,-26.44033333,1.222666667,-1.623333333,7.274,132.9,-0.030666667,-1.73,-1.703666667,12.822,35,364.436,9668.412667
600,1,600,812.5183333,33.64533333,33.90866667,1667.409333,40.87766667,33.04133333,1.538,1472.374667,37.76533333,-39.91366667,-41.391,-59.109,-31.785,0.665666667,-4.760666667,11.00433333,128.364,-0.013,628.0026667,31.42633333,31.62966667,1152.487,34.69366667,30.036,1.468333333,948.478,31.36133333,-42.02966667,-34.62166667,-70.59433333,-30.45166667,-0.926333333,-1.510666667,6.563333333,137.2823333,-0.026333333,-1.578666667,-1.844666667,13.98733333,55,634.5956667,26212
601,1,601,795.1916667,33.76166667,34.05066667,1777.252333,39.674,33.025,1.536,1539.825,36.02566667,-38.42033333,-41.58966667,-60.30766667,-32.216,0.767333333,-4.517333333,10.75833333,129.262,-0.008333333,613.6566667,31.50433333,31.69533333,1189.118667,34.09466667,30.038,1.461666667,975.2363333,30.48666667,-37.024,-32.56633333,-69.305,-31.773,-0.679666667,-1.268,6.722333333,131.1806667,-0.027333333,-1.531333333,-1.791333333,15.20966667,135,766.6316667,9754.666667
602,1,602,808.1883333,33.863,34.10166667,1759.146,40.543,33.02833333,1.520666667,1514.407667,36.64166667,-41.016,-40.565,-60.07733333,-31.366,0.496333333,-4.678333333,11.49533333,118.4986667,-0.002333333,616.4586667,31.272,31.51566667,1158.45,33.61133333,30.02766667,1.476666667,968.7636667,30.62466667,-39.52666667,-32.72833333,-69.71266667,-29.60233333,-0.818333333,-1.519,6.745333333,128.764,-0.031666667,-1.566,-1.814666667,18.587,544.9996667,1180.539,7390.333333
603,1,603,791.3633333,33.51533333,33.664,1526.553667,42.12733333,33.018,1.522,1356.239333,40.66133333,-38.58266667,-38.205,-58.17033333,-31.15333333,0.645333333,-4.701666667,11.66833333,124.0863333,0.002,614.4213333,31.40266667,31.62866667,1171.926667,34.08733333,30.02,1.472,969.5203333,30.54433333,-37.59566667,-34.33466667,-71.09533333,-29.669,-0.812,-1.434,6.469,135.4896667,-0.03,-1.559333333,-1.804666667,13.83466667,55,628.4346667,12424
604,1,604,802.8473333,33.78766667,34.031,1785.544667,39.31033333,33.02066667,1.542666667,1551.443667,35.73133333,-41.52833333,-39.735,-60.98066667,-31.518,0.489333333,-4.617,11.20766667,124.9906667,-0.012666667,607.5443333,31.32533333,31.51733333,1152.397,33.80966667,30.024,1.469666667,959.827,30.891,-39.36533333,-33.689,-70.394,-30.261,-0.876,-1.385666667,6.909666667,128.588,-0.029666667,-1.544,-1.795,13.803,55,653.1776667,6895.333333
605,1,605,796.405,33.65233333,33.849,1636.043667,41.076,33.04033333,1.532666667,1445.594,38.429,-40.45866667,-40.62933333,-59.37566667,-31.13033333,0.843333333,-4.719,11.63966667,122.2246667,-0.007,616.2936667,31.43133333,31.62733333,1175.095333,33.98166667,30.034,1.471666667,964.179,30.81933333,-37.44933333,-32.92066667,-70.52333333,-31.50766667,-0.752666667,-1.466666667,6.772666667,135.084,-0.025,-1.539333333,-1.787,13.358,105,750.3746667,12879.66667
606,1,606,797.7456667,33.61933333,33.793,1599.15,41.46566667,33.016,1.526666667,1406.460333,39.241,-41.70133333,-37.99633333,-58.402,-31.43166667,0.878666667,-4.677,11.89566667,119.0303333,-0.009,616.3463333,31.43066667,31.636,1176.638667,34.003,30.043,1.472333333,968.554,30.74033333,-37.07066667,-33.37966667,-70.64166667,-31.56033333,-0.810666667,-1.447333333,6.812666667,130.5483333,-0.030333333,-1.556,-1.806666667,14.09066667,55,624.9093333,16537.33333
607,1,607,797.154,33.75533333,33.961,1653.753,41.70933333,33.02866667,1.519666667,1444.230333,38.362,-41.604,-40.17333333,-59.78766667,-31.08033333,0.636333333,-4.751,12,119.4636667,-0.007666667,601.6786667,31.411,31.615,1165.582,34.173,30.03466667,1.473333333,966.3813333,30.75233333,-36.83566667,-33.12933333,-68.83433333,-31.249,-0.819666667,-1.472666667,6.778666667,131.8713333,-0.032333333,-1.555333333,-1.794666667,13.40266667,55,603.7343333,7515
608,1,608,809.267,33.66,33.84966667,1600.139,41.98633333,33.01633333,1.508,1394.099667,39.582,-41.622,-39.03633333,-58.736,-31.551,0.845,-4.794333333,11.33,123.763,0.001,627.6133333,31.56566667,31.782,1191.014,34.72433333,30.02533333,1.456,971.011,30.53333333,-38.41366667,-31.845,-70.294,-31.33133333,-0.875666667,-1.555,6.671333333,132.023,-0.023666667,-1.556333333,-1.796,15.40866667,95,640.5286667,6746
609,1,609,806.533,33.85666667,34.04066667,1730.492333,40.62766667,33.02366667,1.524,1496.444,37.025,-40.62933333,-42.262,-60.768,-31.421,0.595666667,-4.810666667,11.69,120.067,-0.008333333,617.283,31.289,31.50666667,1160.922333,33.47,30.025,1.477666667,971.8876667,30.50333333,-38.84366667,-32.907,-69.066,-31.76866667,-0.816666667,-1.585,6.968333333,129.1793333,-0.030333333,-1.538333333,-1.795666667,14.45933333,55,686.8536667,17148
